het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
AV0,CCCCCCCCCCC(CCCCCCCCCC)(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,CCCCCCCCCCC(CCCCCCCCCC)(CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,7.4,12,8.62;8.68;8.74;8.80;8.93;8.96;8.97;8.98;9.01;9.02;9.10;9.14,,pkasolver
B40,C[C@@H](Cc1ccccc1)NC,C[NH2+][C@@H](C)Cc1ccccc1,7.4,1,9.97,,pkasolver
BER,COc1ccc2cc-3[n+](cc2c1OC)CCc4c3cc5c(c4)OCO5,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,7.4,0,,,pkasolver:no_ionizable
CVD,COc1ccccc1OCCNC[C@@H](COc2cccc3c2c4ccccc4[nH]3)O,COc1ccccc1OCC[NH2+]C[C@H](O)COc1cccc2[nH]c3ccccc3c12,7.4,4,6.22;8.45;8.90;10.36,,pkasolver
DR7,CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,7.4,9,5.58;5.98;6.08;6.42;7.95;8.53;8.71;9.33;9.74,,pkasolver
DZQ,CC(C)(Cc1ccc(cc1)OC)NC[C@@H](c2cc(cc3c2OCC(=O)N3)O)O,COc1ccc(CC(C)(C)[NH2+]C[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,7.4,5,6.95;8.69;8.99;9.95;10.00,phenol@17:9.12->10.00,pkasolver+phenol_rule
E5E,c1cc(c(cc1[C@H](C[NH3+])O)O)O,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,7.4,4,9.08;10.00;10.00;10.52,phenol@8:9.53->10.00;phenol@10:9.85->10.00,pkasolver+phenol_rule
ERC,COc1cc(ccc1OCCCS)CCNC[C@@H](c2ccc(c3c2C=CC(=O)N3)O)O,COc1cc(CC[NH2+]C[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)ccc1OCCCS,7.4,6,5.54;7.16;8.23;9.08;9.97;10.00,phenol@15:8.62->10.00,pkasolver+phenol_rule
GJ6,CC(C)N[C@@H]1CCc2c(ccc(c2O)O)[C@H]1O,CC(C)[NH2+][C@@H]1CCc2c(ccc(O)c2O)[C@H]1O,7.4,1,9.70,,pkasolver
HTO,CCCC[C@H]([C@@H](CO)O)O,CCCC[C@@H](O)[C@H](O)CO,7.4,2,10.38;10.65,,pkasolver
JSZ,CCOC(=O)c1c(c2c(o1)cccc2OC[C@H](CNC(C)C)O)C,CCOC(=O)c1oc2cccc(OC[C@@H](O)C[NH2+]C(C)C)c2c1C,7.4,1,8.84,,pkasolver
K5Y,c1ccc(cc1)CCCCOCCCCCCNC[C@@H](c2ccc(c(c2)CO)O)O,OCc1cc([C@@H](O)C[NH2+]CCCCCCOCCCCc2ccccc2)ccc1O,7.4,4,9.34;9.35;9.99;10.00,phenol@29:9.63->10.00,pkasolver+phenol_rule
LDP,c1cc(c(cc1CCN)O)O,[NH3+]CCc1ccc(O)c(O)c1,7.4,3,9.80;10.00;10.00,phenol@9:9.85->10.00;phenol@7:10.19->10.00,pkasolver+phenol_rule
LTX,CCCCC/C=C\C/C=C\C=C\C=C\[C@H]([C@H](CCCC(=O)O)O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N,CCCCC/C=C\C\C=C/C=C/C=C/[C@@H](SC[C@H]([NH2+]C(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[NH2+]CC(=O)[O-])[C@@H](O)CCCC(=O)[O-],7.4,9,4.04;4.56;6.01;7.63;7.83;8.33;8.44;8.63;9.14,,pkasolver
M3J,c1ccc(cc1)Nc2nc3ccc(cc3c(n2)N)Br,Nc1nc(Nc2ccccc2)nc2ccc(Br)cc12,7.4,5,3.40;4.75;6.50;9.03;10.10,,pkasolver
NI,[Ni+2],[Ni+2],7.4,0,,,pkasolver:no_ionizable
SNP,CC(C)NC[C@@H](COc1cccc2c1cccc2)O,CC(C)[NH2+]C[C@H](O)COc1cccc2ccccc12,7.4,1,9.54,,pkasolver
WV8,CC[C@@H](C[C@H]1COC(=N1)N)c2ccccc2,CC[C@@H](C[C@H]1COC(N)=[NH+]1)c1ccccc1,7.4,1,9.09,,pkasolver
XQC,CC(C)(Cc1ccc(cc1)O)NC[C@@H](c2ccc(c(c2)O)O)O,CC(C)(Cc1ccc(O)cc1)[NH2+]C[C@H](O)c1ccc(O)c(O)c1,7.4,1,9.37,,pkasolver
