het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
TIM,"(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol",ligand,False,3,3,6PS6,316.42,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O
H98,~{N}-[5-[(1~{R})-2-[[(2~{R})-1-(4-methoxyphenyl)propan-2-yl]amino]-1-oxidanyl-ethyl]-2-oxidanyl-phenyl]methanamide,ligand,False,2,2,8JJ8,344.405,C[C@H](Cc1ccc(cc1)OC)NC[C@@H](c2ccc(c(c2)NC=O)O)O
JRZ,"(2S,3S)-1-[(7-methyl-2,3-dihydro-1H-inden-4-yl)oxy]-3-[(1-methylethyl)amino]butan-2-ol",ligand,False,2,2,6PS4,277.402,Cc1ccc(c2c1CCC2)OC[C@H]([C@H](C)NC(C)C)O
KBY,N-[(3R)-4-(4-tert-butylphenyl)-3-({2-[(4-methoxyphenyl)sulfanyl]-5-[methyl(propan-2-yl)sulfamoyl]benzene-1-carbonyl}amino)butanoyl]glycine,ligand,False,2,2,9BUY,669.851,CC(C)N(C)S(=O)(=O)c1ccc(c(c1)C(=O)N[C@H](Cc2ccc(cc2)C(C)(C)C)CC(=O)NCC(=O)O)Sc3ccc(cc3)OC
35V,"4-[(1R)-1-hydroxy-2-({2-[3-methoxy-4-(2-sulfanylethoxy)phenyl]ethyl}amino)ethyl]benzene-1,2-diol",ligand,False,1,1,4QKX,379.471,COc1cc(ccc1OCCS)CCNC[C@@H](c2ccc(c(c2)O)O)O
5FW,ISOPRENALINE,ligand,False,1,1,7DHR,211.258,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O
68H,SALBUTAMOL,ligand,False,1,1,7DHI,239.311,CC(C)(C)NC[C@@H](c1ccc(c(c1)CO)O)O
8VS,4-carbamoyl-N-[(2R)-2-cyclohexyl-2-phenylacetyl]-L-phenylalanyl-3-bromo-N-methyl-L-phenylalaninamide,ligand,False,1,1,5X7D,647.602,CNC(=O)[C@H](Cc1cccc(c1)Br)NC(=O)[C@H](Cc2ccc(cc2)C(=O)N)NC(=O)[C@@H](c3ccccc3)C4CCCCC4
A1AE2,"(2S)-1-[(3-{1-[4-(4-{(2S)-2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butyl]-1H-1,2,3-triazol-4-yl}propyl)amino]-3-(2-propylphenoxy)propan-2-ol",ligand,False,1,2,8W1V,581.789,CCCc1ccccc1OC[C@H](CNCCCc2cn(nn2)CCCCc3ccc(cc3)OC[C@H](CNC(C)C)O)O
A1ASM,"4-[(1R)-1-hydroxy-2-{[6-(4-phenylbutoxy)hexyl]amino}ethyl]benzene-1,2-diol",ligand,False,1,1,9BUY,401.539,c1ccc(cc1)CCCCOCCCCCCNC[C@@H](c2ccc(c(c2)O)O)O
A1D9A,(2~{S})-5-[bis(azanyl)methylideneamino]-2-[[5-[bis(4-chlorophenyl)methyl]-3-methyl-thiophen-2-yl]carbonylamino]pentanoic acid,ligand,False,1,1,8ZWG,533.47,Cc1cc(sc1C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(c2ccc(cc2)Cl)c3ccc(cc3)Cl
A1IZU,"6-(4-imidazo[1,2-a]pyridin-8-yl-2-methyl-phenyl)-1,5-dimethyl-pyrimidine-2,4-dione",ligand,False,1,1,9I52,346.383,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)c3cccn4c3ncc4
A1IZV,"6-(3-fluoranyl-5-furo[3,2-c]pyridin-4-yloxy-pyridin-2-yl)-1,5-dimethyl-pyrimidine-2,4-dione",ligand,False,1,1,9I54,368.319,CC1=C(N(C(=O)NC1=O)C)c2c(cc(cn2)Oc3c4ccoc4ccn3)F
ALE,L-EPINEPHRINE,ligand,False,1,1,4LDO,183.204,CNC[C@@H](c1ccc(c(c1)O)O)O
AV0,Lauryl Maltose Neopentyl Glycol,ligand,False,1,1,8W1V,1005.188,CCCCCCCCCCC(CCCCCCCCCC)(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
B40,(2S)-N-methyl-1-phenylpropan-2-amine,ligand,False,1,1,9U9V,149.233,C[C@@H](Cc1ccccc1)NC
BER,BERBERINE,ligand,False,1,1,9W3F,336.361,COc1ccc2cc-3[n+](cc2c1OC)CCc4c3cc5c(c4)OCO5
CVD,(2S)-1-(8H-CARBAZOL-4-YLOXY)-3-[2-(2-METHOXYPHENOXY)ETHYLAMINO]PROPAN-2-OL,ligand,False,1,1,6PS3,406.474,COc1ccccc1OCCNC[C@@H](COc2cccc3c2c4ccccc4[nH]3)O
DR7,"(3S,8S,9S,12S)-3,12-BIS(1,1-DIMETHYLETHYL)-8-HYDROXY-4,11-DIOXO-9-(PHENYLMETHYL)-6-[[4-(2-PYRIDINYL)PHENYL]METHYL]-2,5,
6,10,13-PENTAAZATETRADECANEDIOIC ACID DIMETHYL ESTER",ligand,False,1,1,9L8L,704.855,CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC
DZQ,Olodaterol,ligand,False,1,1,8JJL,386.442,CC(C)(Cc1ccc(cc1)OC)NC[C@@H](c2cc(cc3c2OCC(=O)N3)O)O
E5E,Noradrenaline,ligand,False,1,1,9CHU,170.186,c1cc(c(cc1[C@H](C[NH3+])O)O)O
ERC,8-hydroxy-5-[(1R)-1-hydroxy-2-({2-[3-methoxy-4-(3-sulfanylpropoxy)phenyl]ethyl}amino)ethyl]quinolin-2(1H)-one,ligand,False,1,1,3PDS,444.544,COc1cc(ccc1OCCCS)CCNC[C@@H](c2ccc(c3c2C=CC(=O)N3)O)O
GJ6,"(5R,6R)-6-(propan-2-ylamino)-5,6,7,8-tetrahydronaphthalene-1,2,5-triol",ligand,False,1,1,7XK9,237.295,CC(C)N[C@@H]1CCc2c(ccc(c2O)O)[C@H]1O
HTO,"HEPTANE-1,2,3-TRIOL",ligand,False,1,1,6MXT,148.2,CCCC[C@H]([C@@H](CO)O)O
JSZ,ethyl 4-({(2S)-2-hydroxy-3-[(1-methylethyl)amino]propyl}oxy)-3-methyl-1-benzofuran-2-carboxylate,ligand,False,1,1,3NY9,335.395,CCOC(=O)c1c(c2c(o1)cccc2OC[C@H](CNC(C)C)O)C
K5Y,salmeterol,ligand,False,1,1,6MXT,415.566,c1ccc(cc1)CCCCOCCCCCCNC[C@@H](c2ccc(c(c2)CO)O)O
LDP,L-DOPAMINE,ligand,False,1,1,9LW5,153.178,c1cc(c(cc1CCN)O)O
LTX,"(5~{S},6~{R},7~{E},9~{E},11~{Z},14~{Z})-6-[(2~{R})-2-[[(4~{S})-4-azanyl-5-oxidanyl-5-oxidanylidene-pentanoyl]amino]-3-(
2-hydroxy-2-oxoethylamino)-3-oxidanylidene-propyl]sulfanyl-5-oxidanyl-icosa-7,9,11,14-tetraenoic acid",ligand,False,1,1,9UAM,625.774,CCCCC/C=C\C/C=C\C=C\C=C\[C@H]([C@H](CCCC(=O)O)O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
M3J,"6-bromo-N~2~-phenylquinazoline-2,4-diamine",ligand,False,1,1,6OBA,315.168,c1ccc(cc1)Nc2nc3ccc(cc3c(n2)N)Br
NI,NICKEL (II) ION,metal,True,1,3,6MXT,58.693,[Ni+2]
SNP,1-(ISOPROPYLAMINO)-3-(1-NAPHTHYLOXY)-2-PROPANOL,ligand,False,1,1,6PS5,259.343,CC(C)NC[C@@H](COc1cccc2c1cccc2)O
WV8,"(2R,4S)-4-[(2S)-2-phenylbutyl]-1,3-oxazolidin-2-amine",ligand,False,1,1,8UHB,218.295,CC[C@@H](C[C@H]1COC(=N1)N)c2ccccc2
XQC,"4-[(1R)-1-hydroxy-2-{[1-(4-hydroxyphenyl)-2-methylpropan-2-yl]amino}ethyl]benzene-1,2-diol",ligand,False,1,1,4LDL,317.38,CC(C)(Cc1ccc(cc1)O)NC[C@@H](c2ccc(c(c2)O)O)O
