pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
9CTJ,3.74,EM,primary,P14867;P18507;P28472;P47869;P47870,,NAG
9CTP,3.62,EM,primary,P14867;P18507;P34903;P47870,,NAG;PIO;POV
9CTV,3.36,EM,primary,P14867;P18505;P18507;P47869;P47870,,NAG;PIO;POV
9CX7,3.3,EM,primary,P14867;P18507;P28472;P47869,ABU,NAG;PIO
9CXA,3.04,EM,primary,P14867;P18507;P28472;P47870,ABU,NAG;PIO;POV
9CXB,3.33,EM,primary,P14867;P18505;P18507;P47869;P47870,ABU,NAG;POV
9CXC,3.3,EM,primary,P14867;P18507;P28472;P47869;P47870,ABU,NAG;PIO
9CXD,3.36,EM,primary,P14867;P18505;P18507;P47870,ABU,NAG;PIO
9DRX,2.95,EM,primary,P14867;P18507;P47870,ABU;IYJ,NAG
9EQG,2.4,EM,primary,P14867;P18507;P28472,A1H6W;ABU;PT5;R16,CL;D10;HEX;NAG;PGW;PLM;PX2
9FAJ,2.6,EM,primary,B5Z8H1;P14867;P18507;P28472;Q7Z7J7;Q8NFZ4,ABU;R16,CL;CLR;D10;HEX;OLC;PGW;PIO;PLM;PX2
9FAK,2.6,EM,primary,P14867;P18507;P28472;Q7Z7J7;Q8NFZ4,ABU;R16,CL;CLR;D10;HEX;OLC;PGW;PIO;PLM;PX2
9FAM,3.5,EM,primary,P14867;P18507;P28472;Q7Z7J7;Q8NFZ4,ABU,CL;CLR;D10;HEX;PGW;PIO;PLM
9FAN,2.9,EM,primary,P18507;Q7Z7J7;Q8NFZ4,,CL;CLR;D10;PGW;PLM
9FAP,2.8,EM,primary,P14867;P18507;P28472;Q7Z7J7;Q8NFZ4,,CL;CLR;D10;HEX;NAG;PGW;PIO;PLM;PX2
9FAQ,2.9,EM,primary,P14867;P18507;P28472;Q7Z7J7;Q8NFZ4,,CL;CLR;D10;HEX;NAG;PGW;PIO;PLM;PX2
9FAR,2.9,EM,primary,P18507;Q7Z7J7;Q8NFZ4,,CL;CLR;D10;PGW;PLM
9FAS,2.5,EM,primary,P14867;P18507;P28472,A8W;R16,CL;D10;HEX;NAG;PGW;PIO;PLM;PX2
9FAT,3.6,EM,primary,P14867;P18507;P28472;Q7Z7J7;Q8NFZ4,A8W;R16,CL;CLR;D10;HEX;PGW;PIO;PLM;PX2
9FAU,3.1,EM,primary,P18507;P28472;Q7Z7J7;Q8NFZ4,R16,CLR;D10;HEX;NAG;PGW;PLM;PX2
9FAV,3.2,EM,primary,P18507;P28472;Q7Z7J7;Q8NFZ4,R16,CLR;D10;HEX;NAG;PGW;PX2
9FAW,2.9,EM,primary,P18507;P28472;Q7Z7J7;Q8NFZ4,,CLR;EPE;HEX;NAG;PGW
9FAX,2.9,EM,primary,P18507;P28472;Q7Z7J7;Q8NFZ4,R16,CLR;D10;HEX;NAG;PGW;PLM;PX2
9FEU,2.5,EM,primary,P28472,HSM,CL;D10;NAG
9FEV,3.1,EM,primary,P28472,,NAG
9FEW,3.5,EM,primary,P28472,,NAG
9FEX,2.6,EM,primary,P28472,HSM,CL;NAG
9FEY,2.9,EM,primary,P28472,HSM,CL;NAG
9FEZ,3.3,EM,primary,P28472,HSM,NAG
9FF0,3.4,EM,primary,P28472,HSM,NAG
9FF1,3.2,EM,primary,P28472,HSM,NAG
9FF2,2.8,EM,primary,P28472,HSM,CL;D10;NAG
9FFL,2.8,EM,primary,B5Z8H1;P14867;P28472,ABU;R16,CL;D10;POV
9FFM,3.0,EM,primary,B5Z8H1;P14867;P28472,,D10
9FFN,3.1,EM,primary,B5Z8H1;P14867;P28472,ABU,CL;D10;POV
9FFO,3.2,EM,primary,B5Z8H1;P14867;P28472,ABU,D10;POV
9FFP,3.5,EM,primary,B5Z8H1;P14867;P28472,ABU,
9FFQ,3.1,EM,primary,B5Z8H1;P14867;P28472,ABU,CL
9FFR,3.1,EM,primary,B5Z8H1;P14867;P28472,ABU,CLR
9FFS,3.2,EM,primary,B5Z8H1;P14867;P28472,ABU,
9FFT,3.1,EM,primary,B5Z8H1;P14867;P28472,ABU,
9FFU,2.5,EM,primary,B5Z8H1;P14867;P28472,ABU;R16,CL;D10;POV
9FFV,2.8,EM,primary,P14867;P18507;P28472,,CL;D10
9FFW,3.4,EM,primary,P14867;P18507;P28472,ABU,D10
9FFX,3.6,EM,primary,P14867;P18507;P28472,ABU,
9FFY,3.1,EM,primary,P14867;P18507;P28472,ABU;D3D,
9FFZ,3.3,EM,primary,P14867;P18507;P28472,ABU;D3D,CLR
9FG0,3.6,EM,primary,P14867;P18507;P28472,ABU,
9FG1,3.1,EM,primary,P14867;P18507;P28472,ABU;D3D,D10
9FG2,3.0,EM,primary,P14867;P18507;P28472,ABU;D3D,CL;D10
9FG3,3.1,EM,primary,P14867;P18507;P28472,ABU;D3D,D10
9FG4,3.4,EM,primary,P14867;P28472,,PIO
9FG5,3.2,EM,primary,P14867;P28472,ABU,PIO
9FG6,3.3,EM,primary,P14867;P28472,ABU;HSM,PIO
9FG7,2.7,EM,primary,P14867;P18507;P28472,ABU,CL;D10;PIO
9FG8,2.9,EM,primary,P14867;P18507;P28472,ABU,CL;D10;PIO
9FG9,2.7,EM,primary,P14867;P18507;P28472,ABU;LBN;R16;V8D,CL;D10;PIO
9FGA,3.3,EM,primary,B5Z8H1;P14867;P18507;P28472,,D10;NAG;PIO
9FGB,3.8,EM,primary,B5Z8H1;P14867;P18507;P28472,,NAG;PIO
9FGC,3.4,EM,primary,B5Z8H1;P14867;P18507;P28472,,D10;NAG;PIO
9FGD,3.3,EM,primary,B5Z8H1;P14867;P18507;P28472,,D10;NAG
9FGF,2.9,EM,primary,P14867;P18507;P28472,R16,CL;D10;NAG;PIO
9FGG,2.6,EM,primary,P14867;P18507;P28472,ABU;R16;V8D,CL;D10;NAG;PIO
9FGH,3.0,EM,primary,P14867;P18507;P28472,ABU,CL;NAG;PIO
9G2D,2.7,EM,primary,P28472,,CL;NAG
9G2E,2.5,EM,primary,P28472,,CL;D10;NAG
9H9E,3.6,EM,primary,P14867;Q53FP2,,CLR;PC7;PGT;PX6
9HAA,3.14,EM,primary,P28472;P31644;P42212,BUA;ZN,EPE;NAG
9HNQ,3.81,EM,primary,P28472;P31644,ABU,EPE;NAG
9HNR,3.17,EM,primary,P28472;P31644,ABU,EPE
9HNS,3.1,EM,primary,P28472;P31644,ABU,EPE;NAG
9HNT,3.32,EM,primary,P28472;P31644,ABU;V8D,EPE;NAG
9HUM,3.35,EM,primary,P28472;P31644;P42212,ABU,EPE;NAG
9RL5,3.1,EM,primary,P28472;P31644;P42212,ABU;TOR,EPE;NAG
9RPB,3.1,EM,primary,B5Z8H1;P28472;P31644;P42212,ABU,EPE;NAG
